model,precision,pearson,spearman,mse,cosine_error,avg_sample_time,model_size_mb,n_params
dan_standard,fp32,0.4896986484527588,0.4705751699457767,0.1923239529132843,0.14514437317848206,13.345484387627948,9.307621002197266,2439937
dan_standard,int8,0.4880465865135193,0.46851093238871006,0.18909183144569397,0.1450190395116806,10587.122143749639,5.7220458984375e-05,0
dan_optimized,fp32,0.46612563729286194,0.4361847516127255,0.16078607738018036,0.13022029399871826,13.279490610784705,0.23828506469726562,62465
dan_optimized,int8,0.4645891487598419,0.43261431441188514,0.16019152104854584,0.13096341490745544,10899.970031266548,4.57763671875e-05,0
cnn_standard,fp32,0.4508792459964752,0.41207214427073013,0.07558588683605194,0.12366001307964325,21.993462473801628,3.8857460021972656,1018625
cnn_standard,int8,0.4514577388763428,0.41233093496280254,0.07556773722171783,0.12366119772195816,1813.2533125140071,0.8818588256835938,231168
cnn_optimized,fp32,0.28758570551872253,0.26769930743858195,0.14448699355125427,0.12548834085464478,17.459243724715634,0.24853897094726562,65153
cnn_optimized,int8,0.28831422328948975,0.2681638138952,0.14494803547859192,0.12548229098320007,1712.4521249570535,0.12258148193359375,32128
bigru_standard,fp32,0.36589884757995605,0.34022487660327416,0.10176544636487961,0.1430239975452423,106.6338562850433,4.101566314697266,1075201
bigru_standard,int8,0.36729589104652405,0.34129508379497797,0.10179619491100311,0.1429714411497116,173794.19978749412,2.288818359375e-05,0
bigru_optimized,fp32,0.3735318183898926,0.345278955672131,0.11023202538490295,0.140233114361763,29.64142189512131,1.1757850646972656,308225
bigru_optimized,int8,0.3746665418148041,0.34584607004260587,0.11056436598300934,0.13992995023727417,170290.54053439267,2.288818359375e-05,0
sru_standard,fp32,0.3790157437324524,0.3463917704507036,0.11024606972932816,0.1295168101787567,600.3348281183207,1.5478553771972656,405761
sru_standard,int8,0.3797221779823303,0.34689730189631535,0.11048321425914764,0.12924066185951233,82979.54764686892,3.4332275390625e-05,0
sru_optimized,fp32,0.4326333999633789,0.4042944813682201,0.15838195383548737,0.12493839114904404,727.4865031490663,0.4614295959472656,120961
sru_optimized,int8,0.43288829922676086,0.4044494786026495,0.158179372549057,0.12481117248535156,101386.1556312463,3.4332275390625e-05,0
custom_hybrid,fp32,0.5311437845230103,0.5037582543770315,0.0791713148355484,0.1266505867242813,44.754681266567786,0.3133430480957031,82141
custom_hybrid,int8,0.5293548107147217,0.5020935380528782,0.0791468545794487,0.1267419457435608,10375.249565629474,0.000579833984375,131
glove_mean,fp32,0.2653760313987732,0.29356808389980543,0.28808557987213135,0.25860875844955444,37.01388752688217,152.587890625,40000000
glove_mean,int8,0.2653760313987732,0.29356808389980543,0.28808557987213135,0.25860875844955444,37.01388752688217,152.587890625,40000000
sentence_transformer,fp32,0.8274062871932983,0.8203246731235654,0.12428534775972366,0.03681892529129982,711.6189562225372,86.64404296875,22713216
sentence_transformer,int8,0.8274062871932983,0.8203246731235654,0.12428534775972366,0.03681892529129982,711.6189562225372,86.64404296875,22713216
bge_small,fp32,0.8552068471908569,0.8674343453533564,0.1355910301208496,0.040474407374858856,1256.2485718717653,127.25830078125,33360000
bge_small,int8,0.8552068471908569,0.8674343453533564,0.1355910301208496,0.040474407374858856,1256.2485718717653,127.25830078125,33360000
