w_pearson,w_spearman,w_contrastive,val_pearson,test_pearson,phase
0.0,0.0,1.0,0.097792,0.00454,coarse
0.0,0.2,0.8,0.532616,0.534324,coarse
0.0,0.4,0.6,0.53117,0.511043,coarse
0.0,0.6,0.4,0.509484,0.509691,coarse
0.0,0.8,0.2,0.463124,0.490824,coarse
0.0,1.0,0.0,0.430088,0.475883,coarse
0.2,0.0,0.8,0.533199,0.51585,coarse
0.2,0.2,0.6,0.53669,0.513587,coarse
0.2,0.4,0.4,0.508595,0.50591,coarse
0.2,0.6,0.2,0.456367,0.499631,coarse
0.2,0.8,0.0,0.438759,0.474301,coarse
0.3333,0.3333,0.3333,0.499725,0.50508,coarse
0.4,0.0,0.6,0.537973,0.507908,coarse
0.4,0.2,0.4,0.51045,0.511961,coarse
0.4,0.4,0.2,0.45466,0.502422,coarse
0.4,0.6,0.0,0.438661,0.466509,coarse
0.5,0.5,0.0,0.436701,0.458886,coarse
0.6,0.0,0.4,0.50912,0.513472,coarse
0.6,0.2,0.2,0.460849,0.513146,coarse
0.6,0.4,0.0,0.437564,0.464154,coarse
0.6364,0.1818,0.1818,0.464308,0.505746,coarse
0.8,0.0,0.2,0.455234,0.49787,coarse
0.8,0.2,0.0,0.437685,0.460972,coarse
1.0,0.0,0.0,0.436858,0.474033,coarse
0.35,0.05,0.6,0.53643,0.50495,refine
0.45,0.0,0.55,0.522644,0.505758,refine
0.35,0.0,0.65,0.519488,0.525387,refine
0.4,0.05,0.55,0.52569,0.497367,refine
0.25,0.15,0.6,0.536201,0.503953,refine
0.15,0.25,0.6,0.531288,0.510433,refine
0.25,0.2,0.55,0.507595,0.494439,refine
0.15,0.2,0.65,0.517675,0.512423,refine
0.2,0.25,0.55,0.512665,0.495404,refine
0.2,0.15,0.65,0.515976,0.520868,refine
0.15,0.05,0.8,0.532039,0.534001,refine
0.25,0.0,0.75,0.524215,0.504679,refine
0.15,0.0,0.85,0.541194,0.502075,refine
0.2,0.05,0.75,0.521519,0.504297,refine
0.05,0.15,0.8,0.535317,0.503675,refine
0.05,0.2,0.75,0.519475,0.499312,refine
0.0,0.25,0.75,0.520122,0.500529,refine
0.0,0.15,0.85,0.536289,0.519273,refine
0.05,0.35,0.6,0.527953,0.510381,refine
0.05,0.4,0.55,0.507426,0.49928,refine
0.0,0.45,0.55,0.511402,0.491707,refine
0.0,0.35,0.65,0.522558,0.491562,refine
